point0-x,point0-y,time,
0.000211262,-1.02583e-06,0.01,
0.000893112,3.09769e-05,0.02,
0.0019272,0.000100899,0.03,
0.0031499,0.000172635,0.04,
0.00450278,0.000231616,0.05,
0.00590042,0.000265177,0.06,
0.00729222,0.000255181,0.07,
0.00881467,0.000185478,0.08,
0.0109517,6.38666e-05,0.09,
0.0139479,-7.14508e-05,0.1,
0.0173848,-0.000178564,0.11,
0.0209126,-0.000253807,0.12,
0.0246199,-0.00031512,0.13,
0.0284643,-0.000373263,0.14,
0.0322783,-0.000410713,0.15,
0.0360258,-0.000470119,0.16,
0.0396481,-0.000605561,0.17,
0.0431994,-0.000824543,0.18,
0.0467966,-0.00110723,0.19,
0.0503957,-0.00143367,0.2,
0.0541356,-0.00179386,0.21,
0.0582064,-0.00215901,0.22,
0.0624418,-0.00249095,0.23,
0.0664561,-0.00272703,0.24,
0.0699161,-0.00286022,0.25,
0.0729856,-0.00295264,0.26,
0.0760717,-0.00308633,0.27,
0.0791514,-0.00326608,0.28,
0.0821067,-0.00353,0.29,
0.0851486,-0.00391201,0.3,
0.08845,-0.00437688,0.31,
0.0919571,-0.00486875,0.32,
0.095671,-0.00533096,0.33,
0.0996203,-0.00575341,0.34,
0.103683,-0.0061127,0.35,
0.107732,-0.00643266,0.36,
0.111558,-0.00674132,0.37,
0.115043,-0.00708447,0.38,
0.118593,-0.00756256,0.39,
0.122547,-0.00824846,0.4,
0.126737,-0.00908331,0.41,
0.130907,-0.00998432,0.42,
0.134959,-0.0108679,0.43,
0.139023,-0.011664,0.44,
0.143064,-0.0123592,0.45,
0.146786,-0.0128847,0.46,
0.15019,-0.0132808,0.47,
0.153358,-0.0136537,0.48,
0.156104,-0.0140525,0.49,
0.158421,-0.0145114,0.5,
0.160521,-0.0150629,0.51,
0.162604,-0.0156766,0.52,
0.164797,-0.0162998,0.53,
0.166929,-0.0168304,0.54,
0.168649,-0.0171174,0.55,
0.169982,-0.017144,0.56,
0.171296,-0.0170456,0.57,
0.172623,-0.0169635,0.58,
0.173789,-0.0169358,0.59,
0.174821,-0.0170336,0.6,
0.175823,-0.0173106,0.61,
0.17682,-0.0177751,0.62,
0.177754,-0.018314,0.63,
0.178679,-0.0187778,0.64,
0.179806,-0.019138,0.65,
0.181028,-0.0193502,0.66,
0.182021,-0.0194008,0.67,
0.182748,-0.0193383,0.68,
0.183331,-0.0192478,0.69,
0.183934,-0.0192766,0.7,
